Date,Montreal Net Radiation - CWTA (W/m2),Montreal Relative Humidity - CWTA,Montreal Temperature - CWTA (C),Montreal Wind Speed - CWTA (km/h),Real Power Demand - Downtown Main Entrance (kW)
2013-11-09T00:00-05:00,-90,0.6,2,6,14497.501
2013-11-09T00:15-05:00,,,,,14334.331
2013-11-09T00:30-05:00,,,,,14334.053
2013-11-09T00:45-05:00,,,,,14278.252
2013-11-09T01:00-05:00,-92,0.61,1.5,6,14346.238
2013-11-09T01:15-05:00,,,,,14258.925
2013-11-09T01:30-05:00,,,,,14222.539
2013-11-09T01:45-05:00,,,,,14237.018
2013-11-09T02:00-05:00,-89,0.55,2,6,14261.638
2013-11-09T02:15-05:00,,,,,14194.738
2013-11-09T02:30-05:00,,,,,14133.487
2013-11-09T02:45-05:00,,,,,14122.728
2013-11-09T03:00-05:00,-89,0.55,2,4,14112.232
2013-11-09T03:15-05:00,,,,,14090.9
2013-11-09T03:30-05:00,,,,,14223.405
2013-11-09T03:45-05:00,,,,,14146.026
2013-11-09T04:00-05:00,-89,0.55,2,4,14084.253
2013-11-09T04:15-05:00,,,,,14061.197
2013-11-09T04:30-05:00,,,,,14044.715
2013-11-09T04:45-05:00,,,,,14064.304
2013-11-09T05:00-05:00,-89,0.58,1.6,4,14083.31
2013-11-09T05:15-05:00,,,,,14023.107
2013-11-09T05:30-05:00,,,,,13994.203
2013-11-09T05:45-05:00,,,,,13977.926
2013-11-09T06:00-05:00,-89,0.55,2,4,14174.55
2013-11-09T06:15-05:00,,,,,14264.69
2013-11-09T06:30-05:00,,,,,14310.513
2013-11-09T06:45-05:00,,,,,14333.461
2013-11-09T07:00-05:00,-141,0.64,1,2,14595.815
2013-11-09T07:15-05:00,,,,,14614.983
2013-11-09T07:30-05:00,,,,,14636.123
2013-11-09T07:45-05:00,,,,,14414.236
2013-11-09T08:00-05:00,15,0.64,1,4,null
2013-11-09T08:15-05:00,,,,,null
2013-11-09T08:30-05:00,,,,,null
2013-11-09T08:45-05:00,,,,,null
2013-11-09T09:00-05:00,120,0.6,2,6,null
2013-11-09T09:15-05:00,,,,,null
2013-11-09T09:30-05:00,,,,,null
2013-11-09T09:45-05:00,,,,,null
2013-11-09T10:00-05:00,163,0.55,2,4,null
2013-11-09T10:15-05:00,,,,,null
2013-11-09T10:30-05:00,,,,,null
2013-11-09T10:45-05:00,,,,,null
2013-11-09T11:00-05:00,196,0.52,3,6,null
2013-11-09T11:15-05:00,,,,,null
2013-11-09T11:30-05:00,,,,,null
2013-11-09T11:45-05:00,,,,,null
2013-11-09T12:00-05:00,188,0.48,3,4,null
2013-11-09T12:15-05:00,,,,,null
2013-11-09T12:30-05:00,,,,,null
2013-11-09T12:45-05:00,,,,,null
2013-11-09T13:00-05:00,218,0.48,3,4,null
2013-11-09T13:15-05:00,,,,,null
2013-11-09T13:30-05:00,,,,,null
2013-11-09T13:45-05:00,,,,,null
2013-11-09T14:00-05:00,140,0.48,3,6,null
2013-11-09T14:15-05:00,,,,,null
2013-11-09T14:30-05:00,,,,,null
2013-11-09T14:45-05:00,,,,,null
2013-11-09T15:00-05:00,49,0.52,3,6,null
2013-11-09T15:15-05:00,,,,,null
2013-11-09T15:30-05:00,,,,,null
2013-11-09T15:45-05:00,,,,,null
2013-11-09T16:00-05:00,131,0.52,3,4,null
2013-11-09T16:15-05:00,,,,,null
2013-11-09T16:30-05:00,,,,,null
2013-11-09T16:45-05:00,,,,,null
2013-11-09T17:00-05:00,75,0.53,2.9,4,null
2013-11-09T17:15-05:00,,,,,null
2013-11-09T17:30-05:00,,,,,null
2013-11-09T17:45-05:00,,,,,null
2013-11-09T18:00-05:00,-25,0.56,2.6,6,null
2013-11-09T18:15-05:00,,,,,null
2013-11-09T18:30-05:00,,,,,null
2013-11-09T18:45-05:00,,,,,null
2013-11-09T19:00-05:00,-19,0.59,2.3,7,null
2013-11-09T19:15-05:00,,,,,null
2013-11-09T19:30-05:00,,,,,null
2013-11-09T19:45-05:00,,,,,null
2013-11-09T20:00-05:00,-22,0.75,2,6,null
2013-11-09T20:15-05:00,,,,,null
2013-11-09T20:30-05:00,,,,,null
2013-11-09T20:45-05:00,,,,,null
2013-11-09T21:00-05:00,-22,0.75,2,6,null
2013-11-09T21:15-05:00,,,,,null
2013-11-09T21:30-05:00,,,,,null
2013-11-09T21:45-05:00,,,,,null
2013-11-09T22:00-05:00,-13,0.81,2,6,null
2013-11-09T22:15-05:00,,,,,null
2013-11-09T22:30-05:00,,,,,null
2013-11-09T22:45-05:00,,,,,null
2013-11-09T23:00-05:00,-13,0.81,2,7,null
2013-11-09T23:15-05:00,,,,,null
2013-11-09T23:30-05:00,,,,,null
2013-11-09T23:45-05:00,,,,,null
